# Final cluster catalogue of successfully downloaded clusters
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
ID Name "RA [deg]" "Dec [deg]" z_cl Richness "BCG redshift"
155 HSCJ001524+000913 3.848835 0.15357 0.4439 26.27 0.444
156 HSCJ001542+014920 3.92708 1.822164 0.3077 23.855 0.29236
157 HSCJ001800+021433 4.499619 2.242596 0.26 17.617 0.26831
158 HSCJ001832-001315 4.632758 -0.220785 0.197 16.308 0.19236
159 HSCJ001949+012506 4.954165 1.418335 0.348 15.061 -1.0
160 HSCJ001956+012109 4.984937 1.352525 0.1037 34.23 -1.0
161 HSCJ001958+002937 4.990899 0.493688 0.4381 23.166 0.4416
162 HSCJ002042+013322 5.174391 1.556007 0.2204 43.721 -1.0
163 HSCJ002043+020227 5.179481 2.040696 0.2782 56.261 0.26781
164 HSCJ002126-001354 5.356608 -0.231561 0.1606 25.383 -1.0
165 HSCJ002207+002956 5.527632 0.498915 0.33 18.609 0.33455
166 HSCJ002230+012846 5.626652 1.479363 0.3425 24.557 -1.0
167 HSCJ002302-000620 5.75953 -0.105602 0.158 47.614 0.15833
168 HSCJ002315+001158 5.811534 0.19945 0.2414 24.911 -1.0
169 HSCJ002350-000606 5.958073 -0.101531 0.384 27.092 0.3663
170 HSCJ002550+013435 6.457985 1.576289 0.2975 17.355 -1.0
171 HSCJ002646+013610 6.693317 1.602762 0.174 17.247 -1.0
172 HSCJ002756+011709 6.984915 1.285883 0.336 27.108 -1.0
173 HSCJ002828+022356 7.117166 2.398902 0.364 20.04 0.37386
174 HSCJ002857+001655 7.239515 0.28185 0.2225 15.824 -1.0
175 HSCJ002901+015457 7.255421 1.915848 0.3623 17.444 0.37556
176 HSCJ003011+013440 7.545932 1.577862 0.3379 27.182 -1.0
177 HSCJ003100+011636 7.750629 1.276565 0.366 18.336 -1.0
178 HSCJ003119+013146 7.827918 1.52936 0.1 18.424 -1.0
179 HSCJ003129+021512 7.869845 2.253258 0.4996 20.383 -1.0
180 HSCJ003133+013000 7.886225 1.500109 0.358 16.768 0.38883
181 HSCJ003140+020205 7.917284 2.034702 0.438 18.684 0.43367
182 HSCJ003423+005126 8.596845 0.857242 0.1957 56.506 0.19186
183 HSCJ003512+004348 8.79937 0.73005 0.2614 17.315 0.26199
184 HSCJ003532+013228 8.88212 1.541135 0.1 16.137 -1.0
185 HSCJ003554+002122 8.974188 0.356159 0.2499 25.827 0.25442
186 HSCJ003559+013407 8.994849 1.568668 0.344 15.612 -1.0
187 HSCJ003605+000930 9.022352 0.158263 0.2522 26.145 0.25408
188 HSCJ003623+003200 9.097827 0.533381 0.2348 17.632 0.25872
189 HSCJ010313-001726 15.803327 -0.290584 0.352 23.427 0.36737
190 HSCJ010420+014850 16.085186 1.813826 0.3496 17.111 0.33398
191 HSCJ010425-002451 16.103403 -0.414185 0.264 18.502 0.26573
192 HSCJ010455+000336 16.230696 0.060094 0.2588 91.203 0.27212
193 HSCJ010510+014113 16.290351 1.68689 0.304 22.871 0.32348
194 HSCJ010510-000935 16.293229 -0.159808 0.254 16.17 0.26237
195 HSCJ010516+012621 16.31698 1.439181 0.254 15.304 0.26533
196 HSCJ010520+014457 16.331868 1.749029 0.362 16.27 0.36128
197 HSCJ010548-002001 16.450899 -0.333478 0.3028 24.64 -1.0
198 HSCJ010557+002217 16.487444 0.371411 0.254 17.736 -1.0
199 HSCJ010607+004910 16.529265 0.819513 0.2518 56.252 0.25129
200 HSCJ010631+000814 16.628421 0.137238 0.257 29.86 0.27042
201 HSCJ010645+013229 16.689508 1.54125 0.332 17.012 0.36389
202 HSCJ010648+010354 16.700482 1.065003 0.25 37.156 0.25593
203 HSCJ010653+001929 16.72005 0.324596 0.264 18.507 0.26972
204 HSCJ010706-001940 16.773886 -0.32767 0.268 29.942 -1.0
205 HSCJ010709+011729 16.787627 1.291387 0.412 18.408 0.42173
206 HSCJ010731+000921 16.877869 0.155699 0.256 19.487 0.29653
207 HSCJ010752+021845 16.966814 2.312607 0.3447 16.75 0.3465
208 HSCJ010752+002124 16.968201 0.356733 0.304 34.008 0.31334
209 HSCJ010754+003054 16.975862 0.515133 0.2956 20.216 0.27798
210 HSCJ010757+011525 16.985978 1.25689 0.362 21.672 -1.0
211 HSCJ010823+005309 17.09784 0.885883 0.352 15.08 0.38973
212 HSCJ010825-000841 17.103626 -0.144752 0.268 15.778 0.28629
